 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m   Latitude  Longitude      DepSM      Sal00  Density00
 09/20/2019   16:26:06      0.441    12.3782   3.890720    0.00000    0.00000      0.438    33.5941  1025.4272
 09/20/2019   16:26:08      0.412    12.3776   3.890756    0.00000    0.00000      0.409    33.5949  1025.4279
 09/20/2019   16:26:10      0.399    12.3782   3.890783    0.00000    0.00000      0.396    33.5947  1025.4275
 09/20/2019   16:26:12      0.415    12.3797   3.890811    0.00000    0.00000      0.412    33.5936  1025.4265
 09/20/2019   16:26:14      0.437    12.3795   3.891080    0.00000    0.00000      0.433    33.5963  1025.4287
 09/20/2019   16:26:16      0.383    12.3806   3.891191    0.00000    0.00000      0.380    33.5965  1025.4284
 09/20/2019   16:26:18      0.431    12.3818   3.891337    0.00000    0.00000      0.428    33.5968  1025.4286
 09/20/2019   16:26:20      0.388    12.3827   3.891339    0.00000    0.00000      0.385    33.5960  1025.4276
 09/20/2019   16:26:22      0.464    12.3825   3.891342    0.00000    0.00000      0.461    33.5962  1025.4282
 09/20/2019   16:26:24      0.388    12.3829   3.891476    0.00000    0.00000      0.385    33.5971  1025.4284
 09/20/2019   16:26:26      0.405    12.3814   3.891458    0.00000    0.00000      0.402    33.5983  1025.4297
 09/20/2019   16:26:28      0.420    12.3770   3.891513    0.00000    0.00000      0.417    33.6028  1025.4341
 09/20/2019   16:26:30      0.406    12.3722   3.891656    0.00000    0.00000      0.403    33.6085  1025.4394
 09/20/2019   16:26:32      0.414    12.3706   3.891625    0.00000    0.00000      0.411    33.6096  1025.4406
 09/20/2019   16:26:34      0.433    12.3688   3.891504    0.00000    0.00000      0.429    33.6101  1025.4414
 09/20/2019   16:26:36      0.403    12.3654   3.891327    0.00000    0.00000      0.400    33.6114  1025.4429
 09/20/2019   16:26:38      0.409    12.3626   3.890911    0.00000    0.00000      0.406    33.6099  1025.4423
 09/20/2019   16:26:40      0.429    12.3567   3.890525    0.00000    0.00000      0.426    33.6115  1025.4448
 09/20/2019   16:26:42      0.405    12.3482   3.890089    0.00000    0.00000      0.402    33.6149  1025.4489
 09/20/2019   16:26:44      0.422    12.3411   3.889500    0.00000    0.00000      0.419    33.6156  1025.4509
 09/20/2019   16:26:46      0.424    12.3397   3.888884    0.00000    0.00000      0.421    33.6109  1025.4476
 09/20/2019   16:26:48      0.402    12.3346   3.888231    0.00000    0.00000      0.399    33.6092  1025.4471
 09/20/2019   16:26:50      0.404    12.3173   3.887418    0.00000    0.00000      0.401    33.6168  1025.4564
 09/20/2019   16:26:52      0.413    12.3075   3.886854    0.00000    0.00000      0.410    33.6203  1025.4609
 09/20/2019   16:26:54      0.417    12.3143   3.886327    0.00000    0.00000      0.414    33.6090  1025.4510
 09/20/2019   16:26:56      0.439    12.3121   3.885333    0.00000    0.00000      0.436    33.6014  1025.4456
 09/20/2019   16:26:58      0.391    12.3051   3.884562    0.00000    0.00000      0.388    33.6003  1025.4459
 09/20/2019   16:27:00      0.420    12.2914   3.883509    0.00000    0.00000      0.417    33.6025  1025.4503
 09/20/2019   16:27:02      0.394    12.2760   3.882285    0.00000    0.00000      0.391    33.6045  1025.4547
 09/20/2019   16:27:04      0.441    12.2673   3.881128    0.00000    0.00000      0.438    33.6011  1025.4539
 09/20/2019   16:27:06      0.415    12.2538   3.879852    0.00000    0.00000      0.412    33.6009  1025.4563
 09/20/2019   16:27:08      0.398    12.2460   3.879507    0.00000    0.00000      0.395    33.6045  1025.4605
 09/20/2019   16:27:10      0.410    12.2466   3.878869    0.00000    0.00000      0.407    33.5979  1025.4552
 09/20/2019   16:27:12      0.417    12.2424   3.878150    0.00000    0.00000      0.414    33.5947  1025.4536
 09/20/2019   16:27:14      0.439    12.2311   3.877464    0.00000    0.00000      0.435    33.5982  1025.4586
 09/20/2019   16:27:16      0.389    12.2257   3.877481    0.00000    0.00000      0.386    33.6033  1025.4634
 09/20/2019   16:27:18      0.413    12.2286   3.877260    0.00000    0.00000      0.410    33.5986  1025.4592
 09/20/2019   16:27:20      0.421    12.2332   3.877264    0.00000    0.00000      0.418    33.5945  1025.4552
 09/20/2019   16:27:22      0.410    12.2268   3.877066    0.00000    0.00000      0.407    33.5982  1025.4593
 09/20/2019   16:27:24      0.411    12.2282   3.877055    0.00000    0.00000      0.408    33.5969  1025.4580
 09/20/2019   16:27:26      0.390    12.2300   3.877317    0.00000    0.00000      0.387    33.5978  1025.4583
 09/20/2019   16:27:28      0.447    12.2324   3.877613    0.00000    0.00000      0.444    33.5985  1025.4586
 09/20/2019   16:27:30      0.401    12.2349   3.877541    0.00000    0.00000      0.398    33.5956  1025.4556
 09/20/2019   16:27:32      0.398    12.2356   3.877670    0.00000    0.00000      0.395    33.5962  1025.4560
 09/20/2019   16:27:34      0.420    12.2348   3.876534    0.00000    0.00000      0.417    33.5860  1025.4483
 09/20/2019   16:27:36      0.417    12.2339   3.877382    0.00000    0.00000      0.414    33.5949  1025.4554
 09/20/2019   16:27:38      0.426    12.2346   3.878002    0.00000    0.00000      0.423    33.6003  1025.4594
 09/20/2019   16:27:40      0.374    12.2356   3.878290    0.00000    0.00000      0.370    33.6022  1025.4605
 09/20/2019   16:27:42      0.424    12.2373   3.878505    0.00000    0.00000      0.421    33.6028  1025.4608
 09/20/2019   16:27:44      0.432    12.2398   3.878402    0.00000    0.00000      0.429    33.5994  1025.4578
 09/20/2019   16:27:46      0.422    12.2411   3.878194    0.00000    0.00000      0.419    33.5963  1025.4551
