year,month,day,39N,38N
1989,6,13,0.909,0.079
1989,6,14,0.496,-0.155
1989,6,15,0.621,-0.192
1989,6,16,1.873,0.791
1989,6,17,1.386,0.836
1989,6,18,1.559,0.66
1989,6,19,3.247,1.83
1989,6,20,4.193,2.394
1989,6,21,2.038,0.676
1989,6,22,1.782,0.217
1989,6,23,0.57,0.026
1989,6,24,-0.149,-0.104
1989,6,25,-0.524,-0.246
1989,6,26,0.664,0.277
1989,6,27,1.115,0.428
1989,6,28,-0.023,0.054
1989,6,29,-1.212,-0.535
1989,6,30,0.388,0.168
1989,7,1,1.101,0.779
1989,7,2,1.284,0.619
1989,7,3,1.708,0.723
1989,7,4,3.563,1.331
1989,7,5,3.054,0.961
1989,7,6,2.282,0.311
1989,7,7,2.97,1.233
1989,7,8,5.393,2.178
1989,7,9,4.886,1.929
1989,7,10,2.561,1.018
1989,7,11,1.17,0.507
1989,7,12,0.759,0.729
1989,7,13,1.603,1.051
1989,7,14,2.382,1.077
1989,7,15,2.387,0.896
1989,7,16,0.975,-0.055
1989,7,17,0.291,-0.267
1989,7,18,1.658,0.349
1989,7,19,1.922,0.646
1989,7,20,3.584,1.518
1989,7,21,3.59,1.332
1989,7,22,2.161,-0.58
1989,7,23,1.645,-0.416
1989,7,24,1.958,0.582
1989,7,25,2.148,1.115
1989,7,26,1.754,0.219
1989,7,27,2.454,0.775
1989,7,28,2.108,0.682
1989,7,29,1.56,0.518
1989,7,30,1.123,0.307
1989,7,31,0.57,0.177
1989,8,1,1.329,1.209
1989,8,2,1.483,0.961
1989,8,3,1.34,0.431
1989,8,4,0.905,0.078
1989,8,5,0.24,-0.112
1989,8,6,1.023,0.872
1989,8,7,0.42,0.567
1989,8,8,1.748,0.778
1989,8,9,1.95,1.115
1989,8,10,1.594,0.741
1989,8,11,1.261,1.018
1989,8,12,1.383,1.23
1989,8,13,1.579,1.363
1989,8,14,1.892,0.946
1989,8,15,1.802,0.721
1989,8,16,1.465,0.512
1989,8,17,1.656,0.614
1989,8,18,1.705,0.734
1989,8,19,1.366,0.676
1989,8,20,1.823,0.986
1989,8,21,0.71,0.35
1989,8,22,-0.166,-0.319
1989,8,23,0.607,0.062
1989,8,24,1.442,0.959
1989,8,25,1.469,0.664
1989,8,26,0.832,0.438
1989,8,27,1.086,0.733
1989,8,28,0.618,0.346
1989,8,29,0.168,0.333
1989,8,30,0.416,0.409
1989,8,31,1.219,0.802
1989,9,1,1.151,0.607
1989,9,2,0.956,0.633
1989,9,3,1.499,0.687
1989,9,4,0.935,0.154
1989,9,5,0.963,0.215
1989,9,6,0.993,0.149
1989,9,7,-0.229,-0.171
1989,9,8,0.122,-0.033
1989,9,9,-0.236,-0.062
1989,9,10,0.348,0.423
1989,9,11,1.17,0.85
1989,9,12,0.187,0.098
1989,9,13,-0.198,-0.209
1989,9,14,-0.288,-0.252
1989,9,15,-0.131,-0.066
1989,9,16,0.029,0.244
1989,9,17,0.162,0.253
1989,9,18,1.012,0.924
1989,9,19,0.722,0.428
1989,9,20,-0.151,-0.468
1989,9,21,0.164,0.26
1989,9,22,0.955,0.803
1989,9,23,1.161,0.556
1989,9,24,-0.282,-0.038
1989,9,25,-0.654,-0.35
1989,9,26,-0.119,-0.055
1989,9,27,0.133,0.013
1989,9,28,0.294,0.342
1989,9,29,-0.081,-0.079
1989,9,30,-0.024,0.026
1989,10,1,2.748,1.604
1989,10,2,4.436,2.767
1989,10,3,0.061,-0.115
1989,10,4,0.487,0.351
1989,10,5,1.485,1.079
1989,10,6,0.418,0.318
1989,10,7,1.193,0.75
1989,10,8,0.354,0.185
1989,10,9,0.597,0.358
1989,10,10,0.821,0.651
1989,10,11,0.137,0.138
1989,10,12,0.426,0.183
1989,10,13,1.092,0.746
1989,10,14,1.108,0.77
1989,10,15,1.371,0.469
1989,10,16,1.788,1.106
1989,10,17,0.997,0.25
1989,10,18,0.652,0.467
1989,10,19,1.722,0.968
1989,10,20,-0.286,-0.589
1989,10,21,-1.438,-0.953
1989,10,22,-2.838,-1.554
1989,10,23,-2.046,-1.733
1989,10,24,-0.28,-0.21
1989,10,25,0.469,0.484
1989,10,26,0.186,0.066
1989,10,27,0.891,0.389
1989,10,28,1.977,1.008
1989,10,29,-0.164,-0.333
1989,10,30,-0.66,-0.454
1989,10,31,0.219,-0.006
1989,11,1,0.257,0.093
1989,11,2,0.255,-0.067
1989,11,3,0.999,0.275
1989,11,4,2.998,2.041
1989,11,5,2.563,1.567
1989,11,6,1.007,0.483
1989,11,7,1.202,1.631
1989,11,8,1.864,1.211
1989,11,9,1.216,0.668
1989,11,10,1.326,0.998
1989,11,11,0.636,-0.071
1989,11,12,0.523,0.245
1989,11,13,1.19,0.348
1989,11,14,2.176,1.077
1989,11,15,-0.184,-0.139
1989,11,16,0.954,0.661
1989,11,17,1.7,1.08
1989,11,18,0.115,0.03
1989,11,19,-0.062,0.302
1989,11,20,0.471,0.498
1989,11,21,0.679,0.563
1989,11,22,0.202,0.256
1989,11,23,-0.22,-0.134
1989,11,24,-0.176,-0.165
1989,11,25,-0.32,-0.724
1989,11,26,1.19,1.141
1989,11,27,0.658,0.396
1989,11,28,-0.084,-0.398
1989,11,29,-0.652,-0.294
1989,11,30,-0.482,-0.322
1989,12,1,-0.043,-0.295
1989,12,2,0.291,-0.088
1989,12,3,0.21,-0.228
1989,12,4,0.327,-0.058
1989,12,5,0.763,0.639
1989,12,6,1.636,0.929
1989,12,7,0.152,-0.193
1989,12,8,-0.3,-0.143
1989,12,9,1.759,0.799
1989,12,10,1.292,0.298
1989,12,11,0.316,-0.265
1989,12,12,0.131,-0.316
1989,12,13,0.339,-0.057
1989,12,14,0.233,-0.044
1989,12,15,0.503,0.042
1989,12,16,0.545,0.061
1989,12,17,0.363,0.069
1989,12,18,0.719,0.142
1989,12,19,0.04,-0.074
1989,12,20,-0.018,-0.189
1989,12,21,0.198,-0.097
1989,12,22,0.257,-0.082
1989,12,23,0.606,-0.002
1989,12,24,0.873,0.218
1989,12,25,0.592,-0.182
1989,12,26,0.171,-0.157
1989,12,27,0.435,-0.012
1989,12,28,3.82,1.847
1989,12,29,3.063,1.868
1989,12,30,1.148,0.475
1989,12,31,0.209,0.219
1990,1,1,0.985,0.426
1990,1,2,3.731,3.328
1990,1,3,1.2,0.731
1990,1,4,0.029,-0.339
1990,1,5,0.157,0.107
1990,1,6,-0.283,-0.41
1990,1,7,-1.179,-0.979
1990,1,8,-0.782,-0.15
1990,1,9,-0.359,-0.118
1990,1,10,0.001,-0.118
1990,1,11,-0.863,-0.715
1990,1,12,-1.645,-1.305
1990,1,13,-0.53,-0.409
1990,1,14,1.675,1.323
1990,1,15,2.235,1.353
1990,1,16,2.316,1.361
1990,1,17,2.064,1.025
1990,1,18,0.693,0.2
1990,1,19,-0.833,-0.874
1990,1,20,-0.196,-0.504
1990,1,21,0.37,0.038
1990,1,22,1.028,0.647
1990,1,23,2.244,1.489
1990,1,24,0.714,0.429
1990,1,25,-0.595,-0.361
1990,1,26,1.917,2.256
1990,1,27,2.056,1.677
1990,1,28,0.608,0.078
1990,1,29,-0.01,0.243
1990,1,30,1.316,0.814
1990,1,31,1.116,0.781
1990,2,1,2.329,1.501
1990,2,2,0.727,0.332
1990,2,3,-1.265,-1.133
1990,2,4,1.67,1.917
1990,2,5,0.809,0.234
1990,2,6,1.139,0.731
1990,2,7,0.821,0.971
1990,2,8,0.705,0.349
1990,2,9,0.101,0.071
1990,2,10,0.204,0.441
1990,2,11,1.111,0.904
1990,2,12,4.999,3.849
1990,2,13,4.086,3.276
1990,2,14,4.32,3.183
1990,2,15,1.589,0.309
1990,2,16,0.172,-0.982
1990,2,17,0.052,0.083
1990,2,18,0.201,-0.22
1990,2,19,-0.201,-0.306
1990,2,20,-0.483,-0.581
